kepid,orig_score,det_score,delta,koi_depth,koi_period,snr_tier,true_label,error
7877496,0.0048230960965156,0.008640370331704617,0.0038172742351890165,10184.5,1.72086129,high,1,
12019440,0.0073139835149049,0.0010694614611566067,-0.006244522053748294,16450.9,3.24325988,high,1,
5357901,0.0213889442384243,0.058195360004901886,0.036806415766477585,14431.2,3.797018259,high,1,
6849046,0.2547456324100494,,,7563.0,4.225384543,high,1,"search_failed: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
10019708,0.1411415785551071,0.07418570667505264,-0.06695587188005445,10091.4,3.268695042,high,1,
11414511,0.0228441208600997,0.019087256863713264,-0.0037568639963864343,16813.7,2.816504904,high,1,
5794240,0.0512081198394298,0.2795974016189575,0.22838928177952772,36911.9,2.455240626,high,1,
9595827,0.3235197961330414,0.24862787127494812,-0.07489192485809326,21340.5,3.905081685,high,1,
11502867,0.0101009476929903,0.0024155627470463514,-0.007685384945943948,14319.4,3.217518511,high,1,
3749365,0.1343782693147659,0.29325971007347107,0.15888144075870517,30222.4,1.97376085,high,1,
7950644,0.0559919215738773,0.057482484728097916,0.0014905631542206157,9655.7,10.290994129,high,1,
2581316,0.0912985205650329,0.008502775803208351,-0.08279574476182455,9148.7,217.83184293,high,1,
9818381,0.0102698151022195,0.007689198013395071,-0.002580617088824429,7765.0,3.024092505,high,1,
7529266,0.0862521827220916,0.131874680519104,0.0456224977970124,4510.2,8.600153929,high,1,
10619192,0.0001386230287607,0.0034886698704212904,0.0033500468416605904,20823.9,1.485710994,high,1,
9166862,0.0090152081102132,0.025749467313289642,0.016734259203076442,16652.7,3.855603916,high,1,
11391018,0.0624274909496307,0.17268149554729462,0.11025400459766391,21124.7,30.360445359,high,1,
6462863,0.0261735431849956,0.024460701271891594,-0.0017128419131040053,5612.8,22.342964828,high,1,
4570949,0.0013779778964817,0.0021683312952518463,0.0007903533987701464,5817.3,1.544928892,high,1,
11449844,0.0003732033073902,0.002427976345643401,0.002054773038253201,23530.0,38.47876629,high,1,
7849854,0.0068910759873688,0.0004919865750707686,-0.006399089412298032,14280.6,2.052349884,high,1,
4742414,0.0244517419487237,0.003882995108142495,-0.020568746840581204,4253.2,15.458056682,high,1,
9115800,0.1943037062883377,0.18029367923736572,-0.014010027050971985,16041.5,4.454194254,high,1,
3935914,0.002904770663008,0.0001670076890150085,-0.0027377629739929916,15044.5,1.594745374,high,1,
5812701,0.0136278709396719,0.006541982293128967,-0.007085888646542932,9065.2,17.855221681,high,1,
6522242,0.0540658608078956,0.004243104252964258,-0.04982275655493134,22838.9,41.408316686,high,1,
