kepid,kepoi_name,koi_disposition,koi_period,koi_depth
8644288,K00137.01,CONFIRMED,7.641567589,2269.7
1725016,K01007.01,CONFIRMED,7.40742502,442.0
5446285,K00142.01,CONFIRMED,10.916108342,1479.0
10166274,K01078.01,CONFIRMED,3.353732008,1264.7
10166274,K01078.02,CONFIRMED,6.877446033,1632.3
10166274,K01078.03,CONFIRMED,28.46464804,1629.8
5735762,K00148.03,CONFIRMED,42.89645024,555.3
8351704,K01146.01,CONFIRMED,7.09712124,369.5
9513865,K00943.01,CONFIRMED,3.601465336,777.7
9605514,K00945.01,CONFIRMED,25.8474958,537.4
9605514,K00945.02,CONFIRMED,40.715561,680.9
8125580,K01014.01,CONFIRMED,17.31711739,1473.0
8158127,K01015.01,CONFIRMED,9.42889884,565.4
10141900,K01082.01,CONFIRMED,6.50327035,418.3
10141900,K01082.02,CONFIRMED,4.09667624,302.3
10141900,K01082.03,CONFIRMED,1.196548464,224.6
8410727,K01148.01,CONFIRMED,11.47609015,182.3
8410727,K01148.02,CONFIRMED,25.2630467,125.5
8278371,K01150.01,CONFIRMED,0.677374687,76.7
8280511,K01151.01,CONFIRMED,10.43547031,210.2
8280511,K01151.02,CONFIRMED,7.41084314,124.1
9710326,K00947.01,CONFIRMED,28.59914031,1585.1
9761882,K00948.01,CONFIRMED,24.58716355,907.5
9766437,K00949.01,CONFIRMED,12.53248222,1145.9
9775938,K00951.01,CONFIRMED,13.19720694,2141.4
8644288,K00137.02,CONFIRMED,14.85890852,3269.0
8158127,K01015.02,CONFIRMED,4.08897299,157.9
8174625,K01017.01,CONFIRMED,17.44486016,826.9
10157458,K01083.01,CONFIRMED,7.33685101,325.8
10118816,K01085.01,CONFIRMED,7.71790675,306.8
10122255,K01086.01,CONFIRMED,27.6652847,469.2
3835670,K00149.01,CONFIRMED,14.55730897,956.9
9775938,K00951.02,CONFIRMED,33.6528474,1140.8
9787239,K00952.01,CONFIRMED,5.90127815,1525.2
9787239,K00952.02,CONFIRMED,8.75209691,1367.6
9787239,K00952.03,CONFIRMED,22.78078241,1925.1
9787239,K00952.04,CONFIRMED,2.896005211,614.1
9787239,K00952.05,CONFIRMED,0.742957911,843.3
2716853,K01022.01,CONFIRMED,18.82744023,1006.2
2715135,K01024.01,CONFIRMED,5.747711909,820.1
8644288,K00137.03,CONFIRMED,3.504691252,315.1
3247268,K01089.01,CONFIRMED,86.67856052,8244.1
